subject_code,topic,stem,choice_a,choice_b,choice_c,choice_d,correct,explanation,difficulty
"RFBT","Securities Regulation & Cooperatives","Shares of a listed company are sold by a stockholder directly to a single buyer in a one-time, isolated transaction not in the ordinary course of a securities business. This is best characterized under the SRC as:","A public offering requiring a prospectus","Insider trading","A mandatory tender offer","An exempt transaction that does not require registration","D","An isolated transaction in which there is no public offering and the seller is not engaged in the business of selling securities is an exempt transaction under the SRC and does not require registration.","2"
"RFBT","Securities Regulation & Cooperatives","An audit of a duly registered cooperative must be conducted by:","Any auditor chosen by the chairperson alone","An external auditor accredited by the Cooperative Development Authority","Only the Commission on Audit","An auditor accredited solely by the SEC","B","Cooperatives are required to have their financial statements audited by an independent external auditor accredited by the Cooperative Development Authority to ensure compliance and proper accounting of funds.","2"
"RFBT","Securities Regulation & Cooperatives","Aling Rosa subscribes to shares in a primary cooperative and later acquires more shares than other members, expecting added voting power. Under RA 9520, can additional shares increase her voting power?","No, because each member in a primary cooperative has only one vote regardless of the number of shares owned","Yes, votes are proportional to shareholdings","Yes, but only up to ten votes","No, because members are not allowed to own shares at all","A","In a primary cooperative the principle of one member, one vote applies; voting power is not tied to the number of shares, so acquiring more shares does not give Aling Rosa greater voting power.","2"
"RFBT","Banking Laws, AMLA, PDIC & BP 22","Under RA 1405, peso bank deposits are generally absolutely confidential. Which of the following is a recognized exception allowing examination?","Upon mere request of any creditor of the depositor","Whenever the BIR wishes to verify income for assessment","Upon written permission of the depositor, in cases of impeachment, upon court order in bribery or dereliction of duty by public officials, or where the deposit is the subject matter of litigation","Upon request of a private employer","C","RA 1405 makes peso deposits absolutely confidential except: upon written permission of the depositor; in cases of impeachment; upon order of a competent court in cases of bribery or dereliction of duty of public officials; and when the deposit is the subject matter of litigation, among other statutory exceptions.","2"
"RFBT","Banking Laws, AMLA, PDIC & BP 22","Compared with peso deposits, foreign-currency deposits under RA 6426 enjoy a narrower set of exceptions. What is the principal exception to their confidentiality?","Disclosure only upon the written permission or consent of the depositor","Disclosure upon order of any trial court","Disclosure to any government agency on request","Disclosure whenever a civil case is filed","A","RA 6426 provides that foreign-currency deposits are confidential and may not be examined except upon the written permission or consent of the depositor; the exceptions are far narrower than those under RA 1405 for peso deposits.","2"
"RFBT","Banking Laws, AMLA, PDIC & BP 22","Under the AMLA as amended, what cash transaction with a covered bank in one banking day is a covered transaction that must be reported?","A transaction in cash or other equivalent monetary instrument exceeding five hundred thousand pesos in one banking day","Any transaction exceeding ten thousand pesos","Only transactions exceeding one million pesos","Only transactions involving foreign currency","A","For banks and similar covered institutions, a covered transaction is one in cash or other equivalent monetary instrument exceeding P500,000 within one banking day; this is separate from suspicious transactions, which have no threshold.","2"
"RFBT","Banking Laws, AMLA, PDIC & BP 22","A casino single-transaction in cash with a customer triggers a covered transaction report under the AMLA when it exceeds what amount?","Five hundred thousand pesos","Five million pesos","Seven million five hundred thousand pesos","One million pesos","B","For casinos as covered persons, the covered transaction threshold is a single cash transaction exceeding P5,000,000 or its equivalent, distinct from the P500,000 threshold applicable to banks.","2"
"RFBT","Banking Laws, AMLA, PDIC & BP 22","A real estate developer covered by the AMLA completes a single cash sale. Above what amount does it become a covered transaction subject to reporting?","Five hundred thousand pesos","Five million pesos","Seven million five hundred thousand pesos","One million pesos","C","Real estate developers and brokers are covered persons under the AMLA for single cash transactions exceeding P7,500,000, distinguishing the threshold from those applicable to banks and casinos.","2"
"RFBT","Banking Laws, AMLA, PDIC & BP 22","A transaction has no minimum amount yet must still be reported because it has no clear economic justification and may relate to an unlawful activity. This is:","A covered transaction requiring the P500,000 threshold","An exempt transaction","A suspicious transaction, which has no threshold amount","A DOSRI transaction","C","Suspicious transactions must be reported regardless of amount when circumstances such as no underlying legal or economic justification, unusual structuring, or links to unlawful activity are present; unlike covered transactions, they have no threshold.","2"
"RFBT","Banking Laws, AMLA, PDIC & BP 22","Under the AMLA, which court issues a freeze order over monetary instruments related to an unlawful activity, and for how long initially?","The Regional Trial Court, for up to one year","The Supreme Court, for ninety days","The AMLC itself, indefinitely","The Court of Appeals, for a period not exceeding twenty days, extendable up to a maximum of six months","D","Upon ex parte application by the AMLC, the Court of Appeals may issue a freeze order effective for a period not exceeding twenty days, which the court may extend upon proper showing up to a maximum of six months.","3"
"RFBT","Banking Laws, AMLA, PDIC & BP 22","Maria maintains a single deposit account with Bank A holding P1,300,000 when the bank is closed. What is the maximum PDIC deposit insurance she can claim?","One million pesos","One million three hundred thousand pesos","Five hundred thousand pesos","The full amount plus accrued interest","A","Effective March 2025, the PDIC maximum deposit insurance coverage is P1,000,000 per depositor per bank; amounts in excess of the maximum are not insured and are treated as ordinary claims against the closed bank.","2"
"RFBT","Banking Laws, AMLA, PDIC & BP 22","Which of the following is NOT insured by the PDIC?","A peso savings deposit","An investment product such as a unit investment trust fund and deposits payable abroad","A peso time deposit","A peso demand deposit","B","PDIC insures deposits but excludes investment products such as bonds, securities, and trust accounts, as well as deposits that are unfunded, fictitious, or payable in a foreign country; only qualified deposits are covered up to the maximum.","2"
"RFBT","Banking Laws, AMLA, PDIC & BP 22","Pedro issued a check that was dishonored for insufficient funds. When does the disputable presumption of knowledge of insufficiency arise under BP 22?","Immediately upon issuance of the check","Only after a criminal complaint is filed","When he fails to pay the amount or make arrangements within five banking days after receiving written notice of dishonor","After thirty days from the date of the check","C","Under BP 22, the presumption of knowledge of insufficient funds arises upon dishonor and the drawer's failure to pay the holder the amount due or make arrangements for payment within five banking days after receiving written notice of dishonor.","2"
"RFBT","Banking Laws, AMLA, PDIC & BP 22","How is the offense under BP 22 best characterized, and what is the consequence of that characterization?","It is malum in se, requiring proof of intent to defraud","It requires actual damage to the payee","It is a purely civil obligation","It is malum prohibitum, so the mere act of issuing a worthless check that is dishonored is punishable regardless of intent to defraud","D","BP 22 punishes the act of making or issuing a worthless check as malum prohibitum; criminal intent or deceit is not an element, distinguishing it from estafa, which requires fraud or deceit as an essential element.","3"
"RFBT","Banking Laws, AMLA, PDIC & BP 22","A corporate treasurer signed a company check that later bounced for insufficient funds. Who may be held criminally liable under BP 22?","The corporation itself, which may be imprisoned","The person who actually signed the check on behalf of the corporation","Only the company president regardless of who signed","No one, since a corporation cannot commit a crime","B","Where the check is drawn by a corporation, the person who actually signed the check on its behalf is the one held criminally liable under BP 22, since a juridical entity cannot be imprisoned but its signatory can.","2"
"RFBT","Banking Laws, AMLA, PDIC & BP 22","Spouses Reyes maintain a joint and or account with P1,600,000 in a single bank that is later closed. How is PDIC insurance generally applied to this joint account?","The joint account is insured up to a maximum of P1,000,000, separate from any individually owned accounts of each spouse","Each spouse is separately insured up to P1,000,000 for the joint account, totaling P2,000,000","The account is not insured because it is jointly owned","The account is insured for the full P1,600,000","A","PDIC treats a joint account as insured up to the P1,000,000 maximum for that account, with the insured amount generally divided among co-owners; this coverage is separate from any single accounts each depositor maintains in the same bank.","3"
"RFBT","E-Commerce, Data Privacy, Consumer Protection & IP","Under RA 8792, an electronic document offered as evidence:","Is never admissible because it is not on paper","Is admissible only if notarized","Has the legal effect, validity, and enforceability of a written document and is admissible in evidence","Has only persuasive, not evidentiary, value","C","The Electronic Commerce Act adopts the functional-equivalent approach, giving electronic documents and electronic signatures the same legal effect, validity, and enforceability as their paper counterparts, and they are admissible in evidence.","2"
"RFBT","E-Commerce, Data Privacy, Consumer Protection & IP","An online merchant requires that a contract be in writing and signed. Under RA 8792, when is an electronic signature deemed to satisfy a signature requirement?","Only when accompanied by a wet-ink specimen","When a method is used to identify the party and indicate his approval of the electronic document, and that method is reliable and appropriate","Only when issued by a government certification authority","Never, because signatures must be handwritten","B","An electronic signature satisfies a legal signature requirement when a method is used to identify the person and indicate his access to or approval of the electronic document, and the method is as reliable as appropriate given the circumstances.","2"
"RFBT","E-Commerce, Data Privacy, Consumer Protection & IP","Under the Data Privacy Act (RA 10173), which of the following is classified as sensitive personal information?","An individual's business email address","A company's registered trade name","Information about an individual's health, genetic, or sexual life","A publicly listed corporate office address","C","Sensitive personal information includes data about race, ethnic origin, marital status, age, color, religious or political affiliations, health, education, genetic or sexual life, government-issued identifiers, and proceedings for offenses, requiring heightened protection.","2"
"RFBT","E-Commerce, Data Privacy, Consumer Protection & IP","Following a personal data breach involving sensitive personal information likely to result in serious harm, within what period must the National Privacy Commission and affected data subjects generally be notified?","Within thirty days","Within fifteen days","Within seventy-two hours upon knowledge of or reasonable belief that the breach occurred","Only upon demand by the data subject","C","The Data Privacy Act and its rules require notification to the National Privacy Commission and affected data subjects within seventy-two hours upon knowledge of, or reasonable belief that, a personal data breach requiring notification has occurred.","2"
"RFBT","E-Commerce, Data Privacy, Consumer Protection & IP","A company collects and decides the purposes for processing customers' personal data, while a separate IT firm processes the data only on the company's instructions. Under RA 10173, what are they respectively?","Both are personal information controllers","The company is the personal information controller and the IT firm is the personal information processor","Both are personal information processors","The IT firm is the controller and the company is the processor","B","A personal information controller controls the collection, holding, processing, or use of personal data and determines the purposes; a personal information processor processes personal data only on behalf of, and as instructed by, the controller.","2"
"RFBT","E-Commerce, Data Privacy, Consumer Protection & IP","Which data-subject right under RA 10173 allows an individual to obtain a copy of his personal data in an electronic or structured format and to transmit it to another controller?","The right to be forgotten only","The right to lodge a complaint","The right to object to direct marketing only","The right to data portability","D","The right to data portability gives the data subject the right to obtain from the controller a copy of his data in a commonly used, electronic, or structured format that allows further use, including transfer to another controller.","2"
"RFBT","E-Commerce, Data Privacy, Consumer Protection & IP","A retailer posts a sign reading no return, no exchange on all purchased items. Under the Consumer Act (RA 7394), this practice is:","A prohibited deceptive sales act, because consumers retain rights against defective goods","Lawful, since the consumer is forewarned","Permissible only for discounted items","Allowed if the sign is conspicuously displayed","A","A blanket no-return, no-exchange policy is a prohibited deceptive practice because it misleads consumers into believing they have waived their statutory rights against defective or non-conforming goods; consumers retain warranty and remedy rights.","2"
"RFBT","E-Commerce, Data Privacy, Consumer Protection & IP","Under the price-tag rule of the Consumer Act, a retailer must:","Display prices only upon a customer's request","Charge a price higher than the tagged price if costs rose","Indicate the price of consumer products in an appropriate tag, label, or marking, and may not sell above the displayed price","Round prices to the nearest hundred pesos","C","The price-tag rule requires that consumer products be clearly priced through tags, labels, or markings, and prohibits selling at a price higher than that stated, protecting consumers from arbitrary pricing.","1"
"RFBT","E-Commerce, Data Privacy, Consumer Protection & IP","Under the IP Code (RA 8293), to be patentable, an invention must satisfy which set of requirements?","Mere usefulness alone","Novelty, inventive step, and industrial applicability","Registration with the BIR","Commercial success in the market","B","A patentable invention must be new (novelty), involve an inventive step that is not obvious to a person skilled in the art, and be industrially applicable; certain subject matter such as discoveries and scientific theories is non-patentable.","2"
"RFBT","E-Commerce, Data Privacy, Consumer Protection & IP","Under RA 8293, a registered trademark is protected for an initial period, after which it may be renewed. What is that period and a key maintenance requirement?","Twenty years from filing, non-renewable","Fifty years from registration","Ten years, renewable for ten-year periods, with a required declaration of actual use","Life of the owner plus fifty years","C","A certificate of trademark registration is valid for ten years and is renewable for periods of ten years, but the registrant must file a declaration of actual use within the prescribed periods, or the mark is removed from the register.","2"
"RFBT","E-Commerce, Data Privacy, Consumer Protection & IP","Under RA 8293, when does copyright protection over an original literary or artistic work arise, and how long do economic rights generally last?","Only upon registration, lasting twenty years","From publication, lasting ten years renewable","From deposit with the National Library, lasting indefinitely","From the moment of creation, with economic rights lasting during the life of the author plus fifty years after death","D","Copyright subsists from the moment of creation of the original work, without need of registration; for most works, economic rights endure during the life of the author and for fifty years after his death.","2"
"RFBT","Insolvency (FRIA) & Other Regulatory Laws","Under RA 10142, when is a debtor considered insolvent?","Only when a court has declared it bankrupt","When the debtor is generally unable to pay its liabilities as they fall due in the ordinary course of business, or has liabilities greater than its assets","Whenever it incurs a single overdue debt","Only when all its checks have bounced","B","FRIA defines insolvency as the financial condition of a debtor that is generally unable to pay its liabilities as they fall due in the ordinary course of business, or has liabilities that are greater than its assets.","2"
"RFBT","Insolvency (FRIA) & Other Regulatory Laws","An individual debtor possesses sufficient property to cover his debts but foresees the impossibility of meeting them when they fall due. What remedy under FRIA fits this situation?","Liquidation","Involuntary rehabilitation","Suspension of payments","Cross-border insolvency proceedings","C","Suspension of payments is available to an individual debtor who possesses sufficient property to cover all his debts but foresees the impossibility of meeting them when they respectively fall due, allowing a deferment or restructuring of payment.","2"
"RFBT","Insolvency (FRIA) & Other Regulatory Laws","Upon issuance of a Commencement Order in a rehabilitation proceeding, a Stay or Suspension Order is included. Which claim is generally NOT covered by the suspension?","Collection suits by ordinary creditors against the debtor","Enforcement of judgments against the debtor's property","A claim against a surety or other person solidarily liable with the debtor, who is not himself under rehabilitation","Foreclosure proceedings against the debtor's mortgaged assets","C","The Stay Order suspends enforcement of claims against the debtor, but it does not extend to claims against sureties and other persons solidarily liable with the debtor who are not themselves under rehabilitation, so creditors may proceed against them.","3"
"RFBT","Insolvency (FRIA) & Other Regulatory Laws","Despite the objection of a class of creditors, the rehabilitation court may approve and bind all creditors to a rehabilitation plan if it meets statutory standards. This judicial authority is called:","The stay order","The cram-down power","The right of subrogation","The trust fund doctrine","B","FRIA grants the court the cram-down power to approve a rehabilitation plan and bind dissenting creditors over their objection, provided the plan complies with the statutory requirements and is feasible and fair.","3"
"RFBT","Insolvency (FRIA) & Other Regulatory Laws","An out-of-court or informal restructuring agreement under FRIA, once it complies with the standstill requirements, imposes a standstill period among the parties of how long?","Sixty days","Thirty days","Two hundred forty days","One hundred twenty days","D","Under FRIA, a standstill period agreed upon by the parties to an out-of-court or informal restructuring is binding, and the law contemplates a standstill period not exceeding one hundred twenty days, subject to the required approvals and publication.","3"
"RFBT","Insolvency (FRIA) & Other Regulatory Laws","In a liquidation proceeding under FRIA, after the Liquidation Order, how are the assets of the insolvent debtor distributed among creditors?","In accordance with the rules on concurrence and preference of credits under the Civil Code","Equally among all creditors regardless of the nature of their claims","To the creditor who first filed a claim, in full","Entirely to the government before any private creditor","A","Upon liquidation, the liquidator converts the debtor's assets to cash and distributes the proceeds to creditors following the rules on concurrence and preference of credits under the Civil Code, which rank preferred, secured, and ordinary credits.","3"
